ID,Marca.,Modelo.Base.,Valor.FIPE.,Ano.,final_rank
963,Chevrolet,S10,R$ 136.930 (09/2024),2018,0.29999182509426486
985,Chevrolet,S10,R$ 119.494 (09/2024),2017,0.2927104029289141
984,Chevrolet,S10,R$ 123.213 (09/2024),2017,0.28884855840535284
899,Chevrolet,S10,R$ 173.129 (09/2024),2021,0.2758998958392877
951,Chevrolet,S10,R$ 138.110 (09/2024),2018,0.2631449101222991
580,Bmw,X1,R$ 91.583 (09/2024),2015,0.25582858756510585
234,Audi,Q7,R$ 137.412 (09/2024),2015,0.24388022592681385
262,Audi,A6 Avant,R$ 129.099 (09/2024),2014,0.24283047183987028
995,Chevrolet,S10,R$ 102.552 (09/2024),2018,0.23762669805860295
585,Bmw,X5,R$ 208.693 (09/2024),2017,0.23758829837080536
